question,answer
What is the counterweight for the FJ crane?,The counterweight for the FJ crane is 112t for the rear and 40t for the carbody.
What is the fixed jib offset angle for the FJ crane?,The fixed jib offset angle for the FJ crane is 30°.
What is the rated value calculated for the FJ crane?,"The rated value for the FJ crane is calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily. The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
What is the radius range for this crane?,The radius for this crane ranges from 2.0m to 42.0m.
What are the jib lengths available for this crane?,"The jib lengths available for this crane are 13m, 19m, 24.5m, 30.5m, 36m, and 42m."
What is the maximum lifting capacity of this crane at a radius of 2.0m with a jib length of 13m?,The maximum lifting capacity of this crane at a radius of 2.0m with a jib length of 13m is 82.0t.
What is the lifting capacity of this crane at a radius of 20m with a jib length of 30.5m?,The lifting capacity of this crane at a radius of 20m with a jib length of 30.5m is 20.8t.
What is the lifting capacity of this crane at a radius of 42m with a jib length of 42m?,The lifting capacity of this crane at a radius of 42m with a jib length of 42m is 14.0t.
What is the fixed jib offset angle for this crane?,The fixed jib offset angle for this crane is 30°.
What is the rear counterweight of this crane?,The rear counterweight of this crane is 112t.
What is the carbody counterweight of this crane?,The carbody counterweight of this crane is 40t.
What is the model of this crane?,The model of this crane is SCC3000A Crawler Crane - FJ (with aux. hook only).
What should be done before getting the actual lifting capacity of the crane?,"Before getting the actual lifting capacity of the crane, the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values."
What is the radius (m) for a Jib (m) of 13 with a Boom (m) of 53?,28.3
What is the radius (m) for a Jib (m) of 19 with a Boom (m) of 53?,28.5
What is the radius (m) for a Jib (m) of 24.5 with a Boom (m) of 56?,27.2
What is the radius (m) for a Jib (m) of 30.5 with a Boom (m) of 56?,27.4
What is the radius (m) for a Jib (m) of 36 with a Boom (m) of 56?,26.2
What is the radius (m) for a Jib (m) of 42 with a Boom (m) of 56?,21
What is the Boom (m) for a radius (m) of 24.4 and a Jib (m) of 21?,16.9
What is the Boom (m) for a radius (m) of 23.6 and a Jib (m) of 18.8?,16.3
What is the Boom (m) for a radius (m) of 22.2 and a Jib (m) of 17.6?,15.2
What is the Boom (m) for a radius (m) of 21.6 and a Jib (m) of 17.1?,14.7
What is the Boom (m) for a radius (m) of 21 and a Jib (m) of 16.6?,13.5
What is the Jib (m) for a radius (m) of 16.4 and a Boom (m) of 14.6?,12.4
What is the Jib (m) for a radius (m) of 15 and a Boom (m) of 14.3?,12.2
What is the maximum Jib (m) for a Boom (m) of 56?,42
What is the radius (m) for a Jib (m) of 38 with a Boom (m) of 56?,28
What is the weight of the rear counterweight in the crawler crane?,112 t
What is the fixed jib offset angle for the crawler crane?,30°
What is the unit of rated values in the crawler crane?,t (Tonnes)
What should be deducted from the rated values to get the actual lifting capacity?,"The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip."
What is the condition for calculating all rated values for the crawler crane?,When the crane is parking on firm and level ground with the load being lifted slowly and steadily.
What is the first jib length for the crane?,The first jib length for the crane is 13 meters.
What is the corresponding radius for the first jib length?,The corresponding radius for the first jib length of 13 meters is 27.6 meters.
What is the maximum jib length for the crane?,The maximum jib length for the crane is 42 meters.
What is the corresponding radius for the maximum jib length?,The corresponding radius for the maximum jib length of 42 meters is 11.8 meters.
What is the fixed jib offset angle for the crane?,The fixed jib offset angle for the crane is 30 degrees.
What is the unit of measurement for the boom length and radius?,The unit of measurement for the boom length and radius is meters (m).
What is the weight of the rear counterweight for the crane?,The weight of the rear counterweight for the crane is 112 tons.
What is the weight of the carbody counterweight for the crane?,The weight of the carbody counterweight for the crane is 40 tons.
What should be deducted from the rated values to get the actual lifting capacity of the crane?,"The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get the actual lifting capacity of the crane."
When are all the rated values of the crane calculated?,All the rated values of the crane are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What is the radius of the jib when the jib length is 13 meters?,The radius of the jib when the jib length is 13 meters is 81 meters.
What is the boom length when the boom length is 29 meters?,The boom length when the boom length is 29 meters is 50 tons.
What is the rear counterweight of the crane?,The rear counterweight of the crane is 112 tons.
What is the carbody counterweight of the crane?,The carbody counterweight of the crane is 40 tons.
What is the fixed jib offset angle of the crane?,The fixed jib offset angle of the crane is 10 degrees.
What is the unit for the rated values of the crane?,The unit for the rated values of the crane is tons.
What is the radius of the jib when the jib length is 19 meters?,The radius of the jib when the jib length is 19 meters is 81.3 meters.
What is the radius of the jib when the jib length is 24.5 meters?,The radius of the jib when the jib length is 24.5 meters is 81.1 meters.
What is the boom length when the boom length is 32 meters?,The boom length when the boom length is 32 meters is 60 tons.
"What is the rear counterweight, carbody counterweight, and fixed jib offset angle of the SCC3000A Crawler Crane - FJ?","The rear counterweight of the SCC3000A Crawler Crane - FJ is 112 tons, carbody counterweight is 40 tons, and the fixed jib offset angle is 10 degrees."
What are the jib radius options for the SCC3000A Crawler Crane?,"The jib radius options for the SCC3000A Crawler Crane are 13m, 19m, 24.5m, 30.5m, 36m, and 42m."
What are the boom radius options for the SCC3000A Crawler Crane?,The boom radius options for the SCC3000A Crawler Crane are 14m and 14m.
What is the rated value for the jib radius of 13m and the boom radius of 14m?,The rated value is 81.3t.
What is the rated value for the jib radius of 19m and the boom radius of 14m?,The rated value is 81.6t.
What is the rated value for the jib radius of 24.5m and the boom radius of 14m?,The rated value is 79.1t.
What is the rated value for the jib radius of 30.5m and the boom radius of 14m?,The rated value is 67.7t.
What is the rated value for the jib radius of 36m and the boom radius of 14m?,The rated value is 78.2t.
What is the rated value for the jib radius of 42m and the boom radius of 14m?,The rated value is 64.9t.
What is the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the fixed jib offset angle of the SCC3000A Crawler Crane?,The fixed jib offset angle of the SCC3000A Crawler Crane is 10°.
How many hooks does the SCC3000A Crawler Crane have?,The SCC3000A Crawler Crane has double hooks.
What is the reeving on the hooks and boom tip of the SCC3000A Crawler Crane?,The reeving on the hooks and boom tip of the SCC3000A Crawler Crane is wire ropes.
"What is the weight of hook blocks, lifting devices and wire ropes of the SCC3000A Crawler Crane?","The weight of hook blocks, lifting devices and wire ropes of the SCC3000A Crawler Crane shall be deducted from the rated values to get actual lifting capacity."
When are the rated values for the SCC3000A Crawler Crane calculated?,The rated values for the SCC3000A Crawler Crane are calculated when the crane is parking on firm and level ground with the load being lifted slowly and steadily.
What unit are the rated values for the SCC3000A Crawler Crane in?,The rated values for the SCC3000A Crawler Crane are in tones (t).
What are the lift capacity of the SCC3000A Crawler Crane for 12m jib radius and 14m boom radius?,The lift capacity of the SCC3000A Crawler Crane for 12m jib radius and 14m boom radius is 12t.
What are the weight of the rear counterweight and carbody counterweight of the SCC3000A Crawler Crane?,"The weight of the rear counterweight of the SCC3000A Crawler Crane is 112t, and the carbody counterweight of the SCC3000A Crawler Crane is 40t."
What is the fixed jib offset angle of the SCC3000A Crawler Crane?,The fixed jib offset angle of the SCC3000A Crawler Crane is 10 degrees.
"What are the radii (m) for the Jib (m) 13, 19, 24.5, 30.5, 36, 42?","79.9, 66.1, 81.7, 71.9, 59.1, 52.2, 74, 60.3, 52.9"
"What are the radii (m) for the Jib (m) 13, 19, 24.5, 30.5, 36, 42, for the second set of values?","65.6, 53.8, 46.8, 36.2, 64.9, 54.7, 47.7, 37.3"
"What are the radii (m) for the Jib (m) 24.5, 30.5, 36, 42 for the third set of values?","57.3, 49.4, 42.8, 35.1"
What is the first boom length (m) for the 112t rear counterweight and 40t carbody counterweight with a fixed jib offset angle of 10°?,41 (m)
What is the second boom length (m) for the same configuration as the previous question?,44 (m)
What are the radius options for the Jib (m) of the crawler crane?,"The radius options for the Jib (m) of the crawler crane are 13, 19, 24.5, 30.5, 36, 42."
What are the radius options for the Boom (m) of the crawler crane?,The radius options for the Boom (m) of the crawler crane are 47 and 50.
What is the rear counterweight of the crawler crane?,The rear counterweight of the crawler crane is 112 t.
What is the carbody counterweight of the crawler crane?,The carbody counterweight of the crawler crane is 40 t.
What is the fixed jib offset angle of the crawler crane?,The fixed jib offset angle of the crawler crane is 10°.
What is the unit of the boom and jib options in the text?,The units of the boom and jib options in the text are in meters (m).
"What are the rated values that are calculated for the crane, according to note 2?","The rated values are calculated when the crane is parked on firm and level ground, with the load being lifted slowly and steadily."
What is the radius (m) for the first jib (m) measurement?,The radius for the first jib (m) measurement is 13.
What is the radius (m) for the second jib (m) measurement?,The radius for the second jib (m) measurement is 19.
What is the radius (m) for the third jib (m) measurement?,The radius for the third jib (m) measurement is 24.5.
What is the radius (m) for the fourth jib (m) measurement?,The radius for the fourth jib (m) measurement is 30.5.
What is the radius (m) for the fifth jib (m) measurement?,The radius for the fifth jib (m) measurement is 36.
What is the radius (m) for the sixth jib (m) measurement?,The radius for the sixth jib (m) measurement is 42.
What is the jib (m) length for the radius (m) measurement of 73.9?,The jib (m) length for the radius (m) measurement of 73.9 is 56.
What is the jib (m) length for the radius (m) measurement of 71.3?,The jib (m) length for the radius (m) measurement of 71.3 is 53.
What is the jib (m) length for the radius (m) measurement of 69.8?,The jib (m) length for the radius (m) measurement of 69.8 is 56.
What is the jib (m) length for the radius (m) measurement of 61.5?,The jib (m) length for the radius (m) measurement of 61.5 is 53.
What is the jib (m) length for the radius (m) measurement of 59.7?,The jib (m) length for the radius (m) measurement of 59.7 is 56.
What is the jib (m) length for the radius (m) measurement of 48.5?,The jib (m) length for the radius (m) measurement of 48.5 is 53.
What is the jib (m) length for the radius (m) measurement of 59?,The jib (m) length for the radius (m) measurement of 59 is 56.
What are the jib radii (m) available for the SCC3000A Crawler Crane?,"The jib radii available are: 13, 19, 24.5, 30.5, 36, 42."
What are the boom lengths (m) available for the SCC3000A Crawler Crane?,The boom lengths available are: 59 and 62.
What is the fixed jib offset angle for the SCC3000A Crawler Crane?,The fixed jib offset angle is 10°.
What is the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight is 112t.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight is 40t.
"What are the rated values for the SCC3000A Crawler Crane when using the auxiliary hook and double hooks, and the jib radius is 13m?",The rated values are not provided in the text for a specific jib radius and hook configuration.
What are the conditions for which the rated values for the SCC3000A Crawler Crane are calculated?,The rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What should be deducted from the rated values of the SCC3000A Crawler Crane to get the actual lifting capacity?,"The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get the actual lifting capacity."
How many hook options are available for the SCC3000A Crawler Crane?,"Two hook options are available for the SCC3000A Crawler Crane: single and double hooks. Additionally, an auxiliary hook is also available."
What is the radius (m) for the first jib (m) size listed?,"The first jib (m) size listed is 13, and the corresponding radius (m) is 23.3."
What is the radius (m) for a jib (m) size of 19?,There are two radius (m) values listed for a jib (m) size of 19: 23.6 and 19.4.
What is the radius (m) for the third jib (m) size listed?,"The third jib (m) size listed is 24.5, and the corresponding radius (m) is 20.2."
What is the jib (m) size that has a radius (m) of 15.2?,There are two jib (m) sizes that have a radius (m) of 15.2: 15.2 and 11.5.
What is the jib (m) size that corresponds to the smallest radius (m) of 1.2?,The jib (m) size that corresponds to the smallest radius (m) of 1.2 is 14.
What is the largest jib (m) size listed?,The largest jib (m) size listed is 42.
What is the smallest radius (m) listed for any jib (m) size?,"The smallest radius (m) listed is 0.8, which corresponds to a jib (m) size of 1."
How many different jib (m) sizes are listed in total?,"There are 12 different jib (m) sizes listed in total, ranging from 13 to 42."
What is the largest radius (m) listed for any jib (m) size?,"The largest radius (m) listed is 30.5, which corresponds to a jib (m) size of 30.5."
What is the radius (m) for a jib (m) size of 36?,There are two radius (m) values listed for a jib (m) size of 36: 20.6 and 14.2.
What is the radius (m) of the jib for the first data point in the first table?,13 m
What is the length of the boom (m) for the second data point in the second table?,38 m
What is the rear counterweight (t) of the SCC3000A Crawler Crane?,112 t
What is the carbody counterweight (t) of the SCC3000A Crawler Crane?,40 t
What is the fixed jib offset angle of the SCC3000A Crawler Crane?,30°
What is the lifting capacity (t) at a radius (m) of 22.4 for the jib?,72 t
What is the length of the boom (m) for the data point with a rated value of 58 t in the first table?,56 m
What is the radius (m) of the jib for the last data point in the first table?,1 m
What is the lifting capacity (t) at a radius (m) of 14.3 for the auxiliary hook?,5 t
What is the minimum radius (m) for which the lifting capacity (t) is provided for the jib in the first table?,1 m
What is the maximum radius (m) for which the lifting capacity (t) is provided for the jib in the first table?,42 m
What is the minimum radius (m) for which the lifting capacity (t) is provided for the auxiliary hook in the first table?,1 m
What is the maximum radius (m) for which the lifting capacity (t) is provided for the auxiliary hook in the first table?,14.4 m
What is the total counterweight (t) of the SCC3000A Crawler Crane?,112 t (rear) + 40 t (carbody) = 152 t
At what radius (m) is the lifting capacity (t) of the auxiliary hook equal to that of the jib for the SCC3000A Crawler Crane?,"At a radius (m) of 14.4 for both hook, the lifting capacity (t) is equal which is 5 t."
What is the radius of the jib when the boom is 13 meters and 19 meters?,"The radius of the jib is 19 meters when the boom is 13 meters, and 24.5 meters when the boom is 19 meters."
What is the boom length when the radius of the jib is 22.4 meters and 22.7 meters?,"The boom length is 41 meters when the radius of the jib is 22.4 meters, and 44 meters when the radius of the jib is 22.7 meters."
What is the weight of the rear counterweight?,The weight of the rear counterweight is 112 tons.
What is the weight of the carbody counterweight?,The weight of the carbody counterweight is 40 tons.
What is the fixed jib offset angle?,The fixed jib offset angle is 30°.
What is the crane model?,The crane model is SCC3000A Crawler Crane - FJ.
How many hooks does this crane have?,This crane has double hooks.
Is auxiliary hook used in this crane?,"Yes, auxiliary hook is used in this crane."
"What should be done with the weight of hook blocks, lifting devices, and wire ropes when calculating the actual lifting capacity?","The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
Under what conditions are all rated values calculated?,All rated values are calculated when the crane is parking on firm and level ground with the load being lifted slowly and steadily.
What is the radius (m) of the first jib (m) for the SCC3000A Crawler Crane?,The radius (m) of the first jib (m) for the SCC3000A Crawler Crane is 13.
What is the radius (m) of the last jib (m) for the SCC3000A Crawler Crane?,The radius (m) of the last jib (m) for the SCC3000A Crawler Crane is 42.
How many jib (m) options are available for the SCC3000A Crawler Crane?,There are 13 jib (m) options available for the SCC3000A Crawler Crane.
What is the boom length (m) of the first boom (m) option for the SCC3000A Crawler Crane?,The boom length (m) of the first boom (m) option for the SCC3000A Crawler Crane is 47.
What is the boom length (m) of the last boom (m) option for the SCC3000A Crawler Crane?,The boom length (m) of the last boom (m) option for the SCC3000A Crawler Crane is 50.
How many boom (m) options are available for the SCC3000A Crawler Crane?,There are 2 boom (m) options available for the SCC3000A Crawler Crane.
What is the fixed jib offset angle of the SCC3000A Crawler Crane?,The fixed jib offset angle of the SCC3000A Crawler Crane is 30°.
What is the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40t.
"What should be deducted from the rated values of the hook blocks, lifting devices, and wire ropes in order to get the actual lifting capacity of the SCC3000A Crawler Crane?","The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get the actual lifting capacity of the SCC3000A Crawler Crane."
At what condition are all the rated values of the SCC3000A Crawler Crane calculated?,All the rated values of the SCC3000A Crawler Crane are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What is the radius (m) of the jib for the first row of values in the table?,"The radius (m) of the jib for the first row of values in the table is 13, 19, 24.5, 30.5, 36, 42."
What is the corresponding jib radius (m) for the second row of values in the table?,"The corresponding jib radius (m) for the second row of values in the table is 13, 19, 24.5, 30.5, 36, 42."
What is the jib radius (m) for the first value in the third row of the table?,The jib radius (m) for the first value in the third row of the table is 23.8.
What is the corresponding boom length (m) for the first value in the third row of the table?,The corresponding boom length (m) for the first value in the third row of the table is 53.
What is the rear counterweight for the SCC3000A Crawler Crane (t)?,The rear counterweight for the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight for the SCC3000A Crawler Crane (t)?,The carbody counterweight for the SCC3000A Crawler Crane is 40t.
What is the fixed jib offset angle for the SCC3000A Crawler Crane?,The fixed jib offset angle for the SCC3000A Crawler Crane is 30 degrees.
What should be deducted from the rated values of the crane's lifting capacity?,"The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get the actual lifting capacity."
When are the rated values calculated for the crane's lifting capacity?,The rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What is the smallest jib radius (m) listed in the table?,The smallest jib radius (m) listed in the table is 1.1.
What is the largest jib radius (m) listed in the table?,The largest jib radius (m) listed in the table is 42.
What is the smallest boom length (m) listed for the table?,The smallest boom length (m) listed for the table is 12.
What is the largest boom length (m) listed for the table?,The largest boom length (m) listed for the table is 62.
What is the first value of the auxiliary hook listed in the table?,The first value of the auxiliary hook listed in the table is 82.
What is the corresponding jib radius (m) for the first auxiliary hook value listed in the table?,The corresponding jib radius (m) for the first auxiliary hook value listed in the table is 13.
What is the radius of the jib when the boom length is 59m?,"The radius of the jib for a boom length of 59m can be found in the first row of the first table, and it is 13m."
What is the maximum boom length for this crawler crane?,The maximum boom length for this crawler crane is 62m.
What is the radius of the jib when the boom length is 62m?,"The radius of the jib for a boom length of 62m can be found in the first row of the second table, and it is 23.1m."
What is the counterweight of the rear and carbody when using the auxiliary hook?,"The counterweight of the rear is 112t, and the carbody counterweight is 40t when using the auxiliary hook."
What is the fixed jib offset angle for this crawler crane?,The fixed jib offset angle for this crawler crane is 30°.
What is the note regarding the rated values of lifting capacity for this crawler crane?,"The first note states that the weight of hook blocks, lifting devices, and wire ropes must be deducted from the rated values to get the actual lifting capacity. The second note states that all rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily."
What is the minimum radius of the jib for any boom length?,"The minimum radius of the jib is 1.1m, which can be found in the last row of the second table."
What is the maximum jib radius for any boom length?,"The maximum jib radius is 30.5m, which can be found in the fourth row of the first table."
Which boom length has a jib radius of 17.7m?,A jib radius of 17.7m can be found for a boom length of 54m in the second table.
Which jib radius can be found for a boom length of 60m and the auxiliary hook?,A jib radius of 22.3m can be found for a boom length of 60m and the auxiliary hook in the seventh row of the first table.
What are the listed radii (m) for the jib in the first table?,"The radii (m) for the jib in the first table are: 13, 19, 24.5, 30.5, 36, 42."
What are the corresponding jib radii (m) for the second table?,"The corresponding jib radii (m) for the second table are: 221, 219, 217, 216, 214, 212, 209, 207, 205, 204, 202, 200, 204, 202, 200, 199, 197, 195, 201, 199, 197, 196, 194, 192, 180, 178, 176, 175, 173, 171, 177, 175, 173, 172, 170, 168, 160, 158, 156, 155, 153, 151, 157, 155, 153, 152, 150, 148, 144, 142, 140, 139, 137, 135, 141, 139, 137, 136, 134, 132, 130, 128, 126, 125, 123, 121, 127, 125, 123, 122, 120, 118, 119, 117, 115, 114, 112, 110, 116, 114, 112, 111, 109, 107, 98, 96, 94, 93, 91, 89, 95, 93, 91, 90, 88, 86, 79.6, 77.6, 75.6, 74.6, 72.6, 70.6, 76.7, 74.7, 72.7, 71.7, 69.7, 67.7, 65.8, 63.8, 61.8, 60.8, 58.8, 56.8, 55.9, 53.9, 55.3, 53.3, 51.3, 50.3, 48.3, 46.3, 47, 45, 43, 42, 40, 38, 44.1, 42.1, 40.1, 39.1, 37.1, 35.1, 40.3, 38.3, 36.3, 35.3, 33.3, 31.3, 37.4, 35.4, 33.4, 32.4, 30.4, 28.4, 34.8, 32.8, 30.8, 29.8, 27.8, 25.8, 31.9, 29.9, 27.9, 26.9, 24.9, 22.9."
"What is the weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip for the SCC3000A Crawler Crane?","The weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip for the SCC3000A Crawler Crane is not provided in the given text."
What are the different boom lengths (m) for the SCC3000A Crawler Crane?,"The different boom lengths (m) for the SCC3000A Crawler Crane are: 29, 32, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60."
What is the rear counterweight (t) for the SCC3000A Crawler Crane?,The rear counterweight (t) for the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight (t) for the SCC3000A Crawler Crane?,The carbody counterweight (t) for the SCC3000A Crawler Crane is 40t.
What are the jib radius options for the SCC3000A Crawler Crane?,"The jib radius options for the SCC3000A Crawler Crane are 13m, 19m, 24.5m, 30.5m, 36m, and 42m."
What are the corresponding boom radius options for the jib radius of 13m?,"The corresponding boom radius options for the jib radius of 13m are 194m, 192m, 190m, 189m, 187m, and 185m."
What are the corresponding boom radius options for the jib radius of 19m?,"The corresponding boom radius options for the jib radius of 19m are 184m, 182m, 180m, 179m, 177m, and 175m."
What are the corresponding boom radius options for the jib radius of 24.5m?,"The corresponding boom radius options for the jib radius of 24.5m are 177m, 175m, 173m, 172m, 170m, and 168m."
What are the corresponding boom radius options for the jib radius of 30.5m?,"The corresponding boom radius options for the jib radius of 30.5m are 176m, 174m, 172m, 171m, 169m, and 167m."
What are the corresponding boom radius options for the jib radius of 36m?,"The corresponding boom radius options for the jib radius of 36m are 158m, 156m, 154m, 153m, 151m, and 149m."
What are the corresponding boom radius options for the jib radius of 42m?,"The corresponding boom radius options for the jib radius of 42m are 142m, 140m, 138m, 137m, 135m, and 133m."
What is the maximum rated capacity of the SCC3000A Crawler Crane when using the main hook and the jib radius is at 42m?,The maximum rated capacity of the SCC3000A Crawler Crane when using the main hook and the jib radius is at 42m is 36t.
"What is the weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip that should be deducted from the rated values to get the actual lifting capacity?","The weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get the actual lifting capacity."
At what ground condition are the rated values calculated for the SCC3000A Crawler Crane?,The rated values are calculated for the SCC3000A Crawler Crane when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What are the listed radii for the jib in meters?,"The listed radii for the jib are 13m, 19m, 24.5m, 30.5m, 36m, 42m, 13m, 19m, 24.5m, 30.5m, 36m, 42m, 175m, 173m, 171m, 170m, 168m, 166m, 166m, 164m, 162m, 161m, 159m, 157m, 171m, 169m, 167m, 166m, 164m, 162m, 162m, 160m, 158m, 157m, 155m, 153m, 156m, 154m, 152m, 151m, 149m, 147m, 154m, 152m, 150m, 149m, 147m, 145m, 140m, 138m, 136m, 135m, 133m, 131m, 139m, 137m, 135m, 134m, 132m, 130m, 127m, 125m, 123m, 122m, 120m, 118m, 126m, 124m, 122m, 121m, 119m, 117m, 116m, 114m, 112m, 111m, 109m, 107m, 115m, 113m, 111m, 110m, 108m, 106m, 96m, 94m, 92m, 91m, 89m, 87m, 94m, 92m, 90m, 89m, 87m, 85m, 79.7m, 77.7m, 75.7m, 74.7m, 72.7m, 70.7m, 79.4m, 77.4m, 75.4m, 74.4m, 72.4m, 70.4m, 65.9m, 63.9m, 61.9m, 60.9m, 58.9m, 56.9m, 65.7m, 63.7m, 61.7m, 60.7m, 58.7m, 56.7m, 55.4m, 53.4m, 51.4m, 50.4m, 48.4m, 46.4m, 55.2m, 53.2m, 51.2m, 50.2m, 48.2m, 46.2m, 47.1m, 45.1m, 43.1m, 42.1m, 40.1m, 38.1m, 46.9m, 44.9m, 42.9m, 41.9m, 39.9m, 37.9m, 40.4m, 38.4m, 36.4m, 35.4m, 33.4m, 31.4m, 40.2m, 38.2m, 36.2m, 35.2m, 33.2m, 31.2m, 34.9m, 32.9m, 30.9m, 29.9m, 27.9m, 25.9m, 34.7m, 32.7m, 30.7m, 29.7m, 27.7m, 25.7m, 30.3m, 28.3m, 26.3m, 25.3m, 23.3m, 21.3m, 30.1m, 28.1m, 26.1m, 25.1m, 23.1m, 21.1m, 26.4m, 24.4m, 22.4m, 21.4m, 19.4m, 17.4m, 26.2m, 24.2m, 22.2m, 21.2m, 19.2m, 17.2m, 23m, 21m, 19m, 18m, 16m, 14m, 22.8m, 20.8m, 18.8m, 17.8m, 15.8m, 13.8m, 20m, 18m, 16m, 15m, 13m, 11m, 19.8m, 17.8m, 15.8m, 14.8m, 12.8m, 10.8m, 17.4m, 15.4m, 13.4m, 12.4m, 10.4m, 8.4m, 12.8m, 10.8m, 8.8m, 7.8m, 5.8m, 3.8m."
What is the booms' length (m) for the crawler crane?,"The booms' length for the crawler crane are 29m, 41m, 44m, 46m, 48m, 50m, 52m, 54m, 56m, 58m, 60m."
What is the rear counterweight (t) for the crawler crane?,The rear counterweight for the crawler crane is 112t.
What is the carbody counterweight (t) for the crawler crane?,The carbody counterweight for the crawler crane is 40t.
"What is mentioned in the note 1 about the weight of hook blocks, lifting devices and wire ropes?","Note 1 mentions that the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
What are the listed radii (m) for the jib in the first set of numbers?,"The radii (m) for the jib in the first set of numbers are: 13, 19, 24.5, 30.5, 36, 42, 13, 19, 24.5, 30.5, 36, 42."
What are the corresponding jib (m) values for the first set of radii (m)?,"The corresponding jib (m) values for the first set of radii (m) are: 154, 152, 150, 149, 147, 145, 146, 144, 142, 141, 139, 137."
What are the listed radii (m) for the jib in the second set of numbers?,"The radii (m) for the jib in the second set of numbers are: 150, 148, 146, 145, 143, 141, 142, 140, 138, 137, 135, 133, 138, 136, 134, 133, 131, 129, 137, 135, 133, 132, 130, 128, 125, 123, 121, 120, 118, 116, 124, 122, 120, 119, 117, 115, 113, 111, 109, 108, 106, 104, 111, 109, 107, 106, 104, 102, 93, 91, 89, 88, 86, 84, 91, 89, 87, 86, 84, 82, 78, 76, 74, 73, 71, 69, 76.6, 74.6, 72.6, 71.6, 69.6, 67.6, 65.6, 63.6, 61.6, 60.6, 58.6, 56.6, 65.2, 63.2, 61.2, 60.2, 58.2, 56.2, 55, 53, 51, 50, 48, 46, 54.8, 52.8, 50.8, 49.8, 47.8, 45.8, 46.8, 44.8, 42.8, 41.8, 39.8, 37.8, 46.5, 44.5, 42.5, 41.5, 39.5, 37.5, 40.1, 38.1, 36.1, 35.1, 33.1, 31.1, 39.8, 37.8, 35.8, 34.8, 32.8, 30.8, 34.6, 32.6, 30.6, 29.6, 27.6, 25.6, 34.3, 32.3, 30.3, 29.3, 27.3, 25.3, 30, 28, 26, 25, 23, 21, 29.7, 27.7, 25.7, 24.7, 22.7, 20.7, 26, 24, 22, 21, 19, 17, 25.8, 23.8, 21.8, 20.8, 18.8, 16.8, 22.4, 20.4, 18.4, 17.4, 15.4, 13.4, 19.7, 17.7, 15.7, 14.7, 12.7, 10.7, 19.4, 17.4, 15.4, 14.4, 12.4, 10.4, 17.1, 15.1, 13.1, 12.1, 10.1, 8.1, 16.8, 14.8, 12.8, 11.8, 9.8, 7.8, 14.8, 12.8, 10.8, 9.8, 7.8, 5.8, 14.5, 12.5, 10.5, 9.5, 7.5, 5.5, 12.7, 10.7, 8.7, 7.7, 5.7, 3.7, 12.5, 10.5, 8.5, 7.5, 5.5, 3.5, 10.9, 8.9, 6.9, 5.9, 3.9, 1.9."
What are the corresponding jib (m) values for the second set of radii (m)?,The corresponding jib (m) values for the second set of radii (m) are not listed.
What is the boom length range for the SCC3000A Crawler Crane?,The boom length range for the SCC3000A Crawler Crane is 29-62m.
What is the rear counterweight for the SCC3000A Crawler Crane?,The rear counterweight for the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight for the SCC3000A Crawler Crane?,The carbody counterweight for the SCC3000A Crawler Crane is 40t.
