question,answer
How many hours since the last maintenance for the Hydraulic Oil in a SW405K Wheel Loader?,The number of hours since the last maintenance for the Hydraulic Oil in a SW405K Wheel Loader is 4000.
What is displayed on the seventh maintenance information screen of a SW405K Wheel Loader?,The seventh maintenance information screen of a SW405K Wheel Loader includes projects: A/C (air conditioner compressor) Belt and Coolant Pump Belt.
How many hours since the last maintenance for the A/C (air conditioner compressor) Belt in a SW405K Wheel Loader?,The number of hours since the last maintenance for the A/C (air conditioner compressor) Belt in a SW405K Wheel Loader is 1000.
How do you access the Language Change screen options on the SW405K Wheel Loader?,You can access the Language Change screen options by pressing the F2 function button on the Home screen.
What are the six options on the Language Change Screen accessed by?,The six options on the Language Change Screen are accessed by pressing the function buttons on the right side of the monitor.
How do you select a desired option on the Language Change Screen?,You can select a desired option on the Language Change Screen by pressing the function button next to the down arrow icon as needed.
How do you accept the Language Change option selected?,You can accept the Language Change option selected by pressing the function button next to the check mark icon.
How do you return to the previous screen on the Language Change Screen?,You can return to the previous screen on the Language Change Screen by pressing the function button next to the return arrow icon.
What two languages are displayed on the Current Characteristic screen?,The two languages that are displayed on the Current Characteristic screen are Chinese and English.
How many options are on the Fault Information screen?,There are four options on the Fault Information screen.
How do you scroll through the fault information screen options?,You can scroll through the fault information screen options by pressing the function button next to the down arrow.
How do you accept the selected option on the Fault Information screen?,You can accept the selected option on the Fault Information screen by pressing the function button next to the check mark icon.
How do you return to the previous screen on the Fault Information screen?,You can return to the previous screen on the Fault Information screen by pressing the function button next to the return arrow icon.
What is displayed on the Vehicle Fault Info (Information) screen?,The Vehicle Fault Info (Information) screen displays a list of current vehicle faults.
What is displayed on the Engine Fault Code screen?,The Engine Fault Code screen displays a list of current engine faults.
What is displayed on the Transmission Fault Info (Information) Screen?,The Transmission Fault Info (Information) Screen displays a list of current transmission faults.
What is displayed on the Diagnostic Info (Information) Screen?,The Diagnostic Info (Information) Screen displays a password input screen. This screen is for use by authorized SANY technicians.
Which screens are password protected and for use by authorized SANY technicians?,"The Program Version screen, Current Characteristic screen, Emergency Steering screen, Boom (Arm) Height Setting screen, Control Handle Select screen, and Diagnostic Info (Information) Screen are password protected and for use by authorized SANY technicians."
How do you access the Calibration Screen on the Home screen?,Press the F4 function button on the Home screen.
How do you select an option on the Calibration Screen?,"Use the function buttons next to the up arrow icon and down arrow icon to scroll through the options, then press the function button next to the check mark icon to accept the selected screen."
How do you set the position limits on the Position Limit Calibration screen?,Follow the steps on the Position Limit Calibration screen to set the limits.
How do you access the Bucket Down To Horizontal option on the Bucket Level Calibration screen?,"Press the function buttons next to the up arrow icon and the down arrow icon to select the Bucket Down To Horizontal option, then press the function button next to the check mark icon to access the Bucket Level Calibration screen."
How do you start the calibration on the Transmission Calibration screen?,"Press the function button next to the down arrow icon to select the Start Calibration option, then press the function button next to the check mark icon to start the calibration."
How do you accept the Ride Control System screen option?,Press the function button next to the check mark icon to accept the Ride Control System screen option.
How do you set a variable on the Ride Control System screen?,"Use the function button next to the up arrow icon or down arrow icon to select the variable, then press the minus (–) or plus (+) function button to change the value, and press the function button next to the check mark icon to save the settings."
How do you access the Operation Screen options?,"Press the F4 function button on the monitor home screen to access the Operation Screen options, then press the function button next to the desired option and the function button next to the check mark icon to accept the selected screen."
How do you change the fan direction on the Change Fan Direction Screen?,"Press the function button next to the up arrow icon or down arrow icon to highlight and select the desired direction, then press the function button next to the return arrow icon to return to the previous screen."
What should be done before changing the fan direction on the Change Fan Direction Screen?,The engine must be stopped.
What is the purpose of the Standstill Regeneration Release Screen?,It is for the maintenance procedures of standstill regeneration.
What should be done before releasing standstill regeneration on the Standstill Regeneration Release Screen?,"Refer to the procedures in ""Standstill Regeneration"" on page 5-31."
What is the purpose of the Quick Change Power Screen?,"It is for use with the quick coupler option, if equipped."
How do you toggle between modes on the Power/Economy (Mode P/E) Screen?,Press the function button next to the check mark icon to toggle between modes.
What are the two modes available on the Power/Economy (Mode P/E) Screen?,Mode E (Economy) and Mode P (Power).
What is the effect of Mode E on the Power/Economy (Mode P/E) Screen?,Mode E limits the maximum engine RPM.
What is the warning regarding the surface or area the machine can be moved onto?,"The warning states that the machine should not be moved onto a surface or area that has not been approved for the machine as it is heavy and could potentially break through surfaces that are not strong enough to support it, leading to serious injury or death."
What additional information can be found regarding job safety?,Additional information on job safety can be found on page 2-7 of the manual.
What is the warning regarding leaving the machine while a load is on it?,"The warning advises that the operator must never leave the machine while a load is on it as it could result in death, serious injury, or equipment damage."
What is one of the responsibilities of the machine operator?,One of the responsibilities of the machine operator is to become familiar with the work area and surroundings before beginning work.
What precaution should be taken regarding prestart checks?,The precaution states that all prestart checks should be performed and any issues resolved before operation to prevent injury or damage to the machine.
What checks should be completed before starting the engine each day?,"The checks include verifying that all required maintenance checks have been performed, inspecting the machine for loose hardware, fluid leaks, and other signs of damage, inspecting the engine compartment for combustible debris, checking the engine coolant, oil, fuel, and transmission oil levels, inspecting the air conditioner compressor belt, electrical system, work lights, warning devices, tire pressure, windshield and rear window wiper and washer operation, and checking the fire extinguisher and escape tool."
What should be cleaned before operating the machine?,"Mirrors, windows, grab handles, and steps should be cleaned before operating the machine."
Where should trash be removed from?,Trash should be removed from inside the cab.
What is the purpose of the Monitor Settings procedure?,The Monitor Settings procedure should be performed before initial operation to set the language of the monitor display.
What should be done to select the Language Change screen?,Press the function button (1) to select the Language Change screen.
What should be pressed to select Language Change?,The function button next to the up arrow icon (2) or down arrow icon (3) should be pressed to select Language Change.
What should be pressed to accept the option selected?,The function button next to the check mark icon (4) should be pressed to accept the option selected.
What should be done after the desired language is selected?,"The function button next to the check mark icon should be pressed to accept the option selected, and then the function button next to the return arrow icon (5) should be pressed to return to the main menu."
What are the options for the language selection on the monitor display?,The options for the language selection on the monitor display are Chinese System and English System.
What should you check before starting the engine of a SW405K Wheel Loader?,"You should make sure all daily maintenance checks have been completed, turn the battery disconnect switch to ON, buckle the seat belt, ensure the joystick and F-N-R rocker switch are in the neutral position, move the transmission control lever to the N position, and turn the key switch to ON."
"What should you do if you observe black exhaust smoke, very loud noise, or excessive vibration after starting the engine?",Shutdown the engine immediately by turning the key switch to OFF or by pressing the emergency stop switch on the right control console and contact a SANY dealer.
What should you check after starting the engine?,"You should check the monitor for any failure codes. If a failure code is shown on the display screen, shutdown the engine immediately and contact a SANY dealer."
What precautions should you observe before jump-starting the engine?,"You should wear personal protective equipment (PPE), make sure to remove any metal objects that could come in contact with electrical circuits, set all machine controls in their neutral position, and ensure the starting system voltage and the battery voltage in the boosting machine are no more than 24V."
What should you do when jump-starting the engine?,"You should clamp one end of a jumper cable to the positive terminal of the drained battery, clamp the other end of the same jumper cable to the positive terminal of the charged battery, clamp one end of a second jumper cable to the ground terminal of the charged battery, clamp the other end of the second jumper cable to the negative terminal or an unpainted part of the structure of the machine with the drained battery, start the engine of the machine with the charged battery and run it at medium speed, and attempt to start the engine of the machine with the drained battery."
What should you do after jump-starting the engine?,"You should disconnect the jumper cables from the machine that had the drained battery in reverse of how they were installed, and then disconnect the jumper cables from the machine with the charged battery in the same way."
What should you do during the warm-up period after starting the engine?,"You should check for black exhaust smoke, very loud noise, or excessive vibration, run the engine at low idle for approximately 5 minutes, operate all control levers in sequence to verify proper function and operation, and continue the warm-up until engine temperature reaches 140°F (60°C), the coolant temperature reaches 176°F–212°F (80°C–100°C), and hydraulic oil reaches normal operating temperature of 122°F–158°F (50°C–70°C) before beginning operation."
Why should you avoid idling the engine for long periods?,"Idling the engine for long periods wastes fuel, causes carbon formation, oil dilution, formation of lacquer or gummy deposits on the valves, pistons, and rings, and rapid accumulation of sludge in the engine."
Why does SANY recommend a break-in period of 100 service hours for a new machine?,Properly breaking-in a new machine is crucial for long service life by allowing time for internal engine parts to break-in.
What should you avoid during the break-in period of a new machine?,"You should avoid operating the machine under heavy loads or at high speeds, sudden starts, movements, or stops except in an emergency, running the engine at low idle for long periods of time, and over-revving the engine."
What should you do after shutting down the engine of a new machine?,"You should allow the engine to cool before shutting it down, check all fluid levels, and manage engine power to allow acceleration to governed speed when conditions require more power."
What should be done to the transmission control lever before moving the neutral lock lever to the neutral position?,The transmission control lever should be moved to the N (neutral) position before moving the neutral lock lever to the neutral position.
What should be done to prevent unexpected machine movement?,Both the transmission control lever locked in neutral and the park brake should be engaged to prevent unexpected machine movement.
What should be done to the park brake before running the engine at low idle?,The park brake should be engaged before running the engine at low idle.
What should be done to the key switch before exiting the cab?,The key switch should be turned to OFF before exiting the cab.
What should be done to the window s before exiting the cab?,The window s should be closed and locked before exiting the cab.
What should be done to the cab door before turning the battery disconnect switch to OFF?,The cab door should be closed and locked before turning the battery disconnect switch to OFF.
What should be the pour point range of diesel fuel in cold temperatures?,Diesel fuel should have a pour point range of 10°F (-12°C) less than the lowest anticipated temperature.
What should be done to the engine coolant in cold temperatures?,The correct engine coolant must be used below freezing temperatures.
What should be done to prevent damage to the hydraulic system in cold temperatures?,The hydraulic system should be warmed up for at least 30 minutes in ambient temperatures below 32°F (0°C) before proceeding with normal operation.
What should be done to the battery in cold climates?,The battery should be kept charged near 100% and in a warm area if possible.
What should be done after daily operation to prevent moisture in the fuel tank from condensing at low temperatures?,The fuel tank should be filled to its maximum level after operation.
What should be done to the undercarriage after daily operation?,"Mud, dirt, and water should be removed from the machine, and the machine should be parked on a firm, dry surface."
What should be done before traveling?,"The bucket height should be adjusted, the steering wheel should be adjusted, and the horn should be sounded to notify personnel of intended machine movement."
What should be done before shifting gears on a slope?,"Downward travel speed shall be lower than upward travel speed, and the machine should not be driven downhill with the transmission in neutral."
What should be done if the engine stops on a slope?,"The bucket should be lowered to the ground, and the engine should be restarted."
What should be secured when the machine is on a slope?,The cab door should be secured in either the open or closed position.
What should be the maximum allowable water depth when operating the machine in water?,The maximum allowable water depth is 2 ft. (0.6 m).
What should be done if the loader gets stuck in mud or soft ground?,"The machine should be freed by reversing the direction of travel, using the bucket to raise the front wheels, or putting objects on the ground under the front wheels."
What should you be cautious of when operating work equipment while the machine is traveling?,Use caution when operating work equipment while the machine is traveling.
What should you avoid when operating the machine on any ground?,Do not operate the machine on any ground that lacks sufficient support.
What should you avoid to prevent the machine from tipping over?,Avoid any working conditions that may cause the machine to tip over.
What should you not do with the loader?,Do not lift any persons on with the loader.
What should you not attempt to do with the hydraulic cylinder fully extended?,Do not attempt work operations such as scraping or digging with the hydraulic cylinder fully extended.
What should you not do when operating the machine with a fully loaded bucket?,Do not operate the machine with a fully loaded bucket while the hydraulic cylinder is fully retracted or extended.
What should you not do when traveling downhill with the machine?,"When the machine is traveling downhill, do not stop the engine or place the transmission in neutral."
What should you do before any digging operation?,Contact the foreman before any digging to make sure that all underground hazards have been located.
What should you avoid when operating the machine?,Never allow any personnel within the work area of the machine while it is being operated.
What should you avoid doing abruptly when operating the machine?,Avoid moving the transmission control lever to abruptly change the direction of the machine without stopping the machine.
What should you avoid doing suddenly when operating the machine?,"Refer to the ""Technical Specifications"" on page 6-4, ""General Safety"" on page 2-2, and ""Machine Safety"" on page 2-3 prior to operating the machine."
What should you do before operating the machine?,"The method for loading loose material includes driving toward the material, lowering the bucket, engaging the bucket with the ground, pressing the kickdown button, pushing the bucket into the material, and releasing the accelerator pedal when the material stalls the forward motion."
What is the method for loading loose material?,"The method for hard materials or materials with greater density includes driving toward the material, lowering the bucket, engaging the bucket with the ground, pressing the kickdown button, pushing the bucket into the material, moving the joystick left to shift the material into the bucket, moving the joystick right to return the bucket to the previous position, and pressing the accelerator pedal as needed."
What is the method for hard materials or materials with greater density?,Release the joystick to return to the neutral position when the bucket is loaded.
What should you do when the bucket is loaded?,"Move the joystick left to curl the bucket when the bucket is loaded, release the joystick to allow it to return to neutral when the stopper on the bucket contacts the boom, move the joystick backward to raise the boom approximately 20 in. (508 mm) so the bucket will clear the material pile, move the transmission control lever to R (reverse) and press the accelerator pedal as needed to back away from the material pile."
What should you do when moving the loader away from the material pile?,"Keep the bucket in the carry position, select a speed according to the distance and road condition, slow down while passing over a ditch or bump on the road, and pass obstacles slowly."
What should you do when hauling material?,"Press the kickdown (KD) button if necessary to downshift the transmission when approaching the truck or hopper at a low travel speed, move the joystick backward to raise the boom and bucket high enough to clear the truck or hopper, use the service brake pedal to slow and stop travel when the bucket is above the truck or hopper, move the joystick right to uncurl the bucket and dump the load into the truck or the hopper."
What should you do when dumping the load into the truck or hopper?,The frame lock bar should be set in the locked position.
How should the frame lock bar be set before positioning the machine on the trailer?,The park brake should be set.
What should be done to the park brake when the loader is properly positioned on the trailer?,The transmission should be set to neutral.
In what position should the transmission be set before placing a support block under the bucket?,A support block should be placed on the trailer under the bucket.
What should be done before lowering the bucket onto the support block?,The engine should be shutdown.
What should be done to the engine before closing the cab windows?,Wheel chocks should be placed at all four wheels.
What should be done to all four wheels before turning the battery disconnect switch to OFF?,One should wait for at least 1 minute before disconnecting the battery so the machine’s electronic control module (ECM) can complete its updating procedures.
How long should one wait before disconnecting the battery after turning the battery disconnect switch to OFF?,The mirrors should be positioned inward toward the cab.
How should the mirrors be positioned before unloading the machine?,They should be made sure that they are closed and locked.
"What should be done to the following before covering the exhaust opening: electrical access door, right side engine access doors, fuel filler cap, diesel exhaust fluid (DEF) filler access door, cab door, left side engine access doors, and battery access door?",A wood block should be placed between the bucket cylinder and the trailer floor.
What should be done to prevent damage to the bucket cylinder during transportation?,They should be removed.
What should be done to the machine tie downs after removing the cover from the exhaust opening?,It should be turned to ON.
What should be done to the battery disconnect switch before starting the engine during the unloading process?,The bucket should be raised high enough to clear the access ramps and trailer.
What should be done before driving the loader off the trailer and ramps during the unloading process?,Contact a SANY dealer for assistance in rigging and lifting the machine.
What should be done before using the lift/tie down points on the sides of the machine during the lifting procedure?,The park brake should be released.
What should be done before setting the frame lock bar in the unlocked position during the unloading process?,The transmission should be set to neutral.
What should be done before slowly driving the loader off the trailer and ramps during the unloading process?,"No, you should not perform any maintenance or repairs unless they are covered in the manual."
Should I perform maintenance or repairs not covered in the provided manual?,Contact a SANY dealer if you are unable to perform the procedures listed in the manual.
What should I do if I am unable to perform the procedures listed in the manual?,"You should avoid working on the machine while the engine is running, always have a person in the cab who can operate the machine, use the proper tools, review the Maintenance Log, and check for any required safety precautions."
What should I check before starting maintenance?,"You should verify that the work was completed correctly, check for leaks, verify there are no abnormal sounds, check for loose fasteners or abnormal movement, and check for overheating."
What should I check after maintenance or repairs?,"You should inventory tools, parts, and fasteners to make sure none of these items were left on or inside the machine."
What should I do after performing maintenance or repairs?,"You should record the hour meter reading daily and confirm it with the required maintenance intervals listed in the manual. When a maintenance service is due, an umbrella symbol will appear on the display."
What should I do with the hour meter reading?,You should use genuine SANY replacement parts when repairing or replacing machine components.
What should I use when repairing or replacing machine components?,You should always use SANY-approved lubricants and coolants.
What should I use for lubricants and coolants?,You should contact a SANY dealer for assistance if the machine will be operated in below-freezing temperatures where the aid of an auxiliary heating device is needed.
What should I do if the machine will be operated in below-freezing temperatures?,"You should inspect the oil and filters for contamination. If contamination is found, you should send a sample of the oil for testing to help determine the cause."
What should I inspect for contamination after changing the engine or hydraulic oil or filters?,"You should make sure they are properly supported in place, close tightly and latch securely in place, and if a lock is present, make sure the lock is properly engaged for security."
What should I do when servicing the machine with the covers open?,You should check and clean any electrical components to prevent any accumulated corrosion and check and clean any areas where extreme heat is present.
What should I do before operating the machine under adverse conditions?,"You should inspect each connector for looseness and after operating, clean the machine and inspect for missing or loose fasteners."
"What should I do before operating the machine in mud, rain, or snow conditions?","You should inspect for any signs of corrosion and apply grease where rust is found. After operating, thoroughly wash away salt residue."
What should I do before operating the machine near ocean (salt air) environments?,"You should clean the engine air filter, radiator core, fuel equipment, fresh-air and recirculation filters frequently."
What should I clean frequently in dusty environments?,"You should lubricate only with recommended oils and use fuels identified in “Recommended Lubricants, Fuel, and Engine Coolant” on page 5-6."
What should I do in cold environments below 32°F (0°C)?,You should increase the frequency of lubrication.
"What should I do if there is evidence of overheating, loose parts, or rust during regular inspection?","The lubricating intervals listed in the maintenance schedule apply only to normal operating conditions. In harsh environments, lubricating intervals should be shortened."
What lubricating intervals apply in harsh environments?,Deutz recommends the use of No. 2 ultra-low sulfur diesel (ULSD) fuel for all normal operations.
What type of fuel is recommended for normal operations in the SW405K Wheel Loader?,"No, it is not allowed to mix fluids of different brands or viscosities and never overfill the system you are servicing."
Is it allowed to use different brands or viscosities of fluids in the SW405K Wheel Loader?,The fuel tank of the SW405K Wheel Loader has approximately 85 gal. (322 L).
What capacity does the fuel tank of the SW405K Wheel Loader have?,Engine coolants used can be any brand meeting the Deutz classification TR 0199-99-1115/5 EN.
What type of coolant is recommended for the engine of the SW405K Wheel Loader?,"No, never dilute fuels. Damage to the injection system can result, which causes the machine to operate improperly."
Is it recommended to dilute fuels in the SW405K Wheel Loader?,Always use clean EP (extreme pressure) grease when greasing the machine. Use greases designed for heavy-duty bearings and general industrial lubrication.
What type of grease is recommended for general industrial lubrication in the SW405K Wheel Loader?,Use ISO VG 46 anti-wear hydraulic oil in temperate climates.
What type of hydraulic oil is recommended for the SW405K Wheel Loader in temperate climates?,SANY recommends using diesel exhaust fluid (DEF) that meets ISO 22241-1.
What type of diesel exhaust fluid (DEF) is recommended for the SW405K Wheel Loader?,"No, do not use gasoline, kerosene, or any unapproved fuels in the fuel system."
"Is it allowed to use gasoline, kerosene, or any unapproved fuels in the fuel system of the SW405K Wheel Loader?",Have the fuel system professionally serviced.
What should be done if fuel waxing or bacteria should occur in the fuel system of the SW405K Wheel Loader?,Check the batteries.
What should be done with the machine's batteries according to the daily or every 10 hours maintenance schedule?,Fluid leaks.
What should be checked daily or every 10 hours to ensure there is no damage to the machine?,The engine exhaust system.
What should be checked daily or every 10 hours to ensure proper engine performance?,Engine coolant.
What should be checked and added if necessary every 10 hours or daily?,Battery terminals.
What should be checked weekly or every 50 hours after completing daily and 50-hour maintenance tasks?,The transmission oil and filter.
"What should be checked and changed if necessary every 100 hours after completing daily, 50-hour, and 100-hour maintenance tasks?",The primary and secondary fuel filters.
"What should be checked and replaced if necessary every 250 hours after completing daily, 50-hour, 100-hour, and 250-hour maintenance tasks?",The hydraulic pilot filter.
"What should be checked and changed if necessary every 500 hours after completing daily, 50-hour, 100-hour, 250-hour, and 500-hour maintenance tasks?",The fuel tank strainer.
"What should be checked and replaced if necessary every 1000 hours after completing daily, 50-hour, 100-hour, 250-hour, 500-hour, and 1000-hour maintenance tasks?",The secondary (safe) air filter.
"What should be checked and replaced if necessary every 2000 hours after completing daily, 50-hour, 100-hour, 250-hour, 500-hour, 1000-hour, and 2000-hour maintenance tasks?",The hydraulic oil.
What should be changed if necessary every 3000 hours after completing all required maintenance tasks up to that point?,The diesel exhaust fluid (DEF) filter.
What should be changed if necessary every 4000 hours after completing all required maintenance tasks up to that point?,Check all controls for smooth operation and make sure they return to the neutral position.
What should be done daily or every 10 hours to ensure the safety of the machine?,Check the hydraulic oil level and connections.
What should be checked every 10 hours or daily to ensure the proper functioning of the hydraulic system?,The front and rear axle oil.
What should be checked and changed if necessary every 100 hours after completing daily and 50-hour maintenance tasks?,The air conditioner compressor belt.
"What should be checked and replaced if necessary every 500 hours after completing daily, 50-hour, 100-hour, 250-hour, and 500-hour maintenance tasks?",Check the engine oil level.
What should be checked daily or every 10 hours to ensure the proper functioning of the engine?,The primary fuel filter.
What should be checked and drained if necessary every 10 hours or daily?,The sheet metal.
What should be inspected and cleaned if necessary every 10 hours or daily?,The fuel tank.
What should be checked and filled if necessary every 10 hours or daily?,Inspect the electrical system.
What should be checked daily or every 10 hours to ensure the proper functioning of the electrical system?,"Lubricate the driveshafts, articulating joints, and work equipment."
What should be checked daily or every 10 hours to ensure the proper functioning of the work equipment?,The park brake pads.
What should be checked and replaced if necessary every 100 hours after completing daily and 50-hour maintenance tasks?,The engine oil and filter.
"What should be checked and replaced if necessary every 500 hours after completing daily, 50-hour, 100-hour, 250-hour, and 500-hour maintenance tasks?",The service brakes.
"What should be checked and replaced if necessary every 250 hours after completing daily, 50-hour, 100-hour, and 250-hour maintenance tasks?",The engine crankcase breather.
"What should be checked and replaced if necessary every 500 hours after completing daily, 50-hour, 100-hour, 250-hour, and 500-hour maintenance tasks?",The engine coolant.
What should be checked every 1000 hours after completing all required maintenance tasks up to that point?,The engine valve clearance.
"What should be checked and replaced if necessary every 1000 hours after completing daily, 50-hour, 100-hour, 250-hour, 500-hour, and 1000-hour maintenance tasks?",The diesel exhaust fluid (DEF) filter.
What should be checked and replaced if necessary every 4500 hours after completing all required maintenance tasks up to that point?,The hydraulic system breather filter.
What should be checked and replaced if necessary every 3 months or 500 hours after completing all required maintenance tasks up to that point?,"The front work lights, headlights, turn signals/hazard lights, and marker lights should be checked for proper function at the front of the machine."
What should be checked for proper function at the front of the machine?,"The switch locations and functions for the lights can be found on page 3-14, under the ""Right Console"" section."
Where can the switch locations and functions for the lights be found?,The horn should be checked with the key switch ON for proper operation.
What should be checked with the key switch ON?,"The location of the horn buttons can be found on page 3-9, under the ""Cab"" section."
Where is the location of the horn buttons?,"The rear work lights, beacon light, backup lights, brake lights/taillights, and turn signals/hazard lights should be checked for proper function at the rear of the machine."
What items should be checked for proper function at the rear of the machine?,"The switch locations and functions for the rear lights can be found on page 3-14, under the ""Right Console"" section."
Where can the switch locations and functions for the rear lights be found?,"Prepare the machine for service by following the instructions in ""Maintenance Safety"" on page 2-5 of the text."
How do you prepare the machine for service?,The battery disconnect switch is located on page 3-8 of the text.
Where is the battery disconnect switch located?,"To open the left side engine compartment access doors, refer to ""Engine Compartment Access Doors"" on page 3-6 of the text."
How do you open the left side engine compartment access doors?,"The first step in checking and adding engine oil is to prepare the machine for service, turn off the battery disconnect switch, and open the left side engine compartment access doors."
What is the first step in checking and adding engine oil?,"Refer to ""Engine Oil Viscosity/Temperature Data"" on page 5-7 of the text for the recommended engine oil viscosity."
What is the recommended engine oil viscosity?,"If engine oil has been added, wait 2 minutes before rechecking the engine oil level."
What should you do if engine oil has been added?,"Before changing the engine oil and filter, prepare the machine for service, start the engine, and allow it to come up to normal operating temperature."
What should you do before changing the engine oil and filter?,Do not perform engine maintenance when the engine is hot. Hot engine oil or engine components may cause severe burns. Allow the engine to cool before performing engine maintenance.
What warning should you follow when performing engine maintenance?,Dispose of used engine oil and oil filters in compliance with all applicable environmental regulations.
What should you do with used engine oil and filters?,"Do not overfill the engine with oil, failure to observe and follow this notice could result in machine damage or improper machine operation."
What is the maximum engine oil level?,"Check for leaks, and check the engine oil level."
What should you check after starting the engine?,"Inspect the engine serpentine belt for abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration."
What should you inspect when inspecting the engine serpentine belt?,Replace the belt if damaged.
When should you replace the engine serpentine belt?,"Check the engine serpentine belt between the idler and the crankshaft pulley, the belt deflection should be between 0.28 in.-0.30 in. (7 mm-10 mm)."
How do you check the engine serpentine belt deflection?,"The engine is equipped with an automatic belt tensioner, if the engine serpentine belt deflection is more than specified, replace the serpentine belt first, if the deflection is not resolved, replace the tensioner."
What is the purpose of the automatic belt tensioner?,"Inspect the air conditioner compressor belt for abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration."
What should you check when inspecting the air conditioner compressor belt?,Replace the belt if damaged.
What action should you take if the air conditioner compressor belt is damaged?,The machine should be prepared for service by following the maintenance safety guidelines on page 2-5.
How should the machine be prepared for service before checking the air conditioner compressor belt tension?,"The battery disconnect switch should be turned to the OFF position, which is explained on page 3-8."
What should be done to the battery disconnect switch before checking the air conditioner compressor belt tension?,The engine compartment access doors that need to be opened are explained on page 3-6.
Which engine compartment access doors should be opened to check the air conditioner compressor belt tension?,The air conditioner compressor belt deflection should be between 0.28 in.–0.30 in (7 mm–10 mm).
What is the recommended air conditioner compressor belt deflection?,"If the deflection is not resolved, the tensioner should be replaced."
What should be done if the air conditioner compressor belt deflection is not resolved after replacing the belt?,The first step is to prepare the machine for service and turn the battery disconnect switch to the OFF position.
What should be the first step in inspecting the engine air filters?,Three latches need to be released to remove the engine air filter housing cover.
How many latches need to be released to remove the engine air filter housing cover?,"The primary air filter should be inspected for signs of damage, wear, or blockage before removing it from the housing."
What should be done before removing the primary air filter from the engine air filter housing?,Attempting to clean the air filter elements should not be done.
What should not be attempted on the air filter elements?,The air filter should be replaced as needed.
"What should be done after inspecting the secondary air filter for signs of damage, wear, or blockage?",The dust valve should be pointed downward.
What should be pointed downward when installing the primary air filter and air filter housing cover?,A SANY dealer should be contacted regarding this procedure.
Who should be contacted regarding the engine valve clearance procedure?,The inside of the air filter housing should be cleaned before removing the secondary filter element.
What should be done before removing the secondary engine air filter from the housing?,"The engine crankcase breather should be replaced after preparing the machine for service, turning the battery disconnect switch to the OFF position, and opening the left side engine compartment access doors."
What should be done if the engine crankcase breather needs to be replaced?,Two fasteners need to be removed.
How many fasteners need to be removed to pull the crankcase breather away from the engine?,Pliers can be used to squeeze the hose clamp tabs and remove the breather hose.
What tool can be used to remove the breather hose from the crankcase breather?,A new gasket should be installed onto the new crankcase breather.
What should be installed onto the new crankcase breather before installing the breather hose?,"The engine coolant level should be checked in the sight glass, and if additional coolant is required, the expansion tank filler cap should be slowly opened to release any pressure."
What should be done before opening the expansion tank filler cap to add coolant?,The engine coolant should be disposed of in accordance with all applicable environmental regulations.
What should be done with the engine coolant after the cooling system is empty?,"Compressed air should be used, but it should be kept a safe distance away to prevent cooling fin damage."
What should be used to clean the radiator and oil cooler fins?,"Compressed air can cause serious injury or death, so it should not come into contact with skin. Always wear goggles, gloves, and other personal protective equipment. Also, never direct compressed air directly into the cooling fins."
What precautions should be taken when using compressed air to clean the radiator and oil cooler fins?,The fan rotation should be changed to counterclockwise when cleaning the radiator.
In which direction should the fan rotation be changed when cleaning the radiator?,The engine should be stopped first before changing the fan direction.
What should be done before changing the fan direction during maintenance?,Counterclockwise fan rotation direction should only be used when cleaning the radiator. It should not be used for extended periods of time as it may cause damage to the machine.
What is the disadvantage of using counterclockwise fan rotation direction during maintenance?,You should use low-pressure compressed air and avoid pointing the nozzle directly at the radiator fins to prevent damage.
How should you clean the cooler fins of the SW405K Wheel Loader's engine?,"You should allow the engine to run until the air flowing out of the intake air cooler, air conditioner condenser, hydraulic oil cooler, transmission oil cooler, and the coolant radiator is clear of dust or debris."
What should you do after blowing or washing dirt and debris out of the cooler fins?,"You should be careful of fuel or fuel vapors coming into contact with hot surfaces or electrical components as it can cause a fire. Also, never service the fuel system near an open flame or while smoking, and clean up spilled fuel immediately."
What should you be careful of when filling the fuel tank of the SW405K Wheel Loader?,"You should check if the vent hole in the cap is blocked, as pressure in the fuel tank may drop if it is blocked, hindering the flow of fuel."
What should you check when inspecting the vent hole in the fuel filler cap of the SW405K Wheel Loader?,SANY recommends fully draining and refilling the fuel tank.
What should you do if you find an excessive amount of water or contaminants while draining the fuel/water separator of the SW405K Wheel Loader?,"You should make sure the key switch is in the OFF position and the batteries are disconnected. Also, always replace a fuse with one of the same capacity, never with one of a higher capacity."
What should you do before replacing a fuse in the SW405K Wheel Loader's electrical system?,The ePower fuse block is located inside the electrical cabinet on the right side of the cab.
Where is the ePower fuse block located in the SW405K Wheel Loader?,"To access the fuses in the ePower fuse block, remove the four fasteners and cover."
How can one access the fuses in the ePower fuse block?,The vehicle electrical center (VEC) fuse block is located inside the electrical cabinet on the right side of the cab.
Where is the vehicle electrical center (VEC) fuse block located in the SW405K Wheel Loader?,"To access the fuses in the vehicle electrical center (VEC) fuse block, open the hinged fuse box cover."
How can one access the fuses in the vehicle electrical center (VEC) fuse block?,The battery compartment fuse block is located inside the battery compartment at the left rear side of the machine.
Where is the battery compartment fuse block located in the SW405K Wheel Loader?,"To access the fuses in the battery compartment fuse block, remove the fuse block cover."
